"seller","day_of_week","income"
Michel DeFrance,Tuesday  ,21492.0
Abraham Bennet,Sunday   ,53257.0
Michael O'Leary,Tuesday  ,19140.0
Heather McBadden,Wednesday,13995.0
Innes del Castillo,Tuesday  ,20067.0
Michel DeFrance,Saturday ,30157.0
Sheryl Hunter,Friday   ,19928.0
Meander Smith,Sunday   ,11987.0
Stearns MacFeather,Thursday ,16377.0
Livia Karsen,Wednesday,11293.0
Cheryl Carson,Tuesday  ,16573.0
Johnson White,Tuesday  ,27692.0
Sheryl Hunter,Saturday ,15945.0
Abraham Bennet,Thursday ,50065.0
Charlene Locksley,Thursday ,26751.0
Heather McBadden,Saturday ,21596.0
Johnson White,Sunday   ,30471.0
Dirk Stringer,Wednesday,11106.0
Ann Dull,Saturday ,30566.0
Charlene Locksley,Monday   ,24554.0
Abraham Bennet,Thursday ,45866.0
Meander Smith,Wednesday,13493.0
Meander Smith,Thursday ,13221.0
Abraham Bennet,Friday   ,49825.0
Morningstar Greene,Wednesday,16339.0
Livia Karsen,Wednesday,14556.0
Reginald Blotchet-Halls,Thursday ,19837.0
Anne Ringer,Thursday ,11797.0
Livia Karsen,Saturday ,9270.0
Heather McBadden,Sunday   ,17189.0
Cheryl Carson,Saturday ,19564.0
Dirk Stringer,Monday   ,17034.0
Morningstar Greene,Saturday ,13726.0
Albert Ringer,Tuesday  ,38943.0
Meander Smith,Monday   ,10312.0
Ann Dull,Wednesday,37233.0
Abraham Bennet,Monday   ,41472.0
Reginald Blotchet-Halls,Wednesday,22218.0
Innes del Castillo,Monday   ,28864.0
Meander Smith,Friday   ,12673.0
Sheryl Hunter,Tuesday  ,17122.0
Heather McBadden,Wednesday,16953.0
Marjorie Green,Wednesday,27713.0
Sylvia Panteley,Saturday ,15363.0
Heather McBadden,Thursday ,25021.0
Livia Karsen,Monday   ,13946.0
Burt Gringlesby,Thursday ,21390.0
Ann Dull,Wednesday,28869.0
Stearns MacFeather,Thursday ,10546.0
Albert Ringer,Thursday ,29303.0
Charlene Locksley,Saturday ,25034.0
Albert Ringer,Friday   ,19278.0
Michael O'Leary,Saturday ,19938.0
Johnson White,Friday   ,38196.0
Heather McBadden,Saturday ,17920.0
Marjorie Green,Tuesday  ,26185.0
Stearns MacFeather,Saturday ,16866.0
Morningstar Greene,Sunday   ,20182.0
Livia Karsen,Wednesday,13489.0
Marjorie Green,Monday   ,34065.0
Marjorie Green,Thursday ,31392.0
Sheryl Hunter,Tuesday  ,19235.0
Livia Karsen,Saturday ,12477.0
Abraham Bennet,Wednesday,53040.0
Cheryl Carson,Thursday ,17986.0
Sheryl Hunter,Tuesday  ,19889.0
Cheryl Carson,Wednesday,16243.0
Stearns MacFeather,Friday   ,13709.0
Sylvia Panteley,Wednesday,14280.0
Cheryl Carson,Saturday ,15165.0
Innes del Castillo,Sunday   ,31447.0
Marjorie Green,Thursday ,36869.0
Burt Gringlesby,Friday   ,20875.0
Cheryl Carson,Tuesday  ,12335.0
Johnson White,Tuesday  ,24569.0
Michel DeFrance,Thursday ,34686.0
Charlene Locksley,Monday   ,19052.0
Ann Dull,Saturday ,42369.0
Johnson White,Monday   ,39823.0
Johnson White,Sunday   ,31324.0
Stearns MacFeather,Friday   ,18282.0
Marjorie Green,Thursday ,28947.0
Innes del Castillo,Thursday ,16515.0
Sylvia Panteley,Friday   ,18330.0
Meander Smith,Sunday   ,7833.0
Meander Smith,Sunday   ,11228.0
Marjorie Green,Saturday ,36007.0
Cheryl Carson,Friday   ,21744.0
Michel DeFrance,Thursday ,34598.0
Morningstar Greene,Friday   ,14665.0
Abraham Bennet,Friday   ,63619.0
Heather McBadden,Wednesday,16517.0
Morningstar Greene,Thursday ,15766.0
Michael O'Leary,Thursday ,17170.0
Anne Ringer,Saturday ,7968.0
Livia Karsen,Monday   ,7710.0
Marjorie Green,Sunday   ,28673.0
Cheryl Carson,Saturday ,14104.0
Burt Gringlesby,Sunday   ,24973.0
Dean Straight,Sunday   ,14756.0
Dean Straight,Thursday ,24006.0
Charlene Locksley,Thursday ,27212.0
Dean Straight,Friday   ,19806.0
Stearns MacFeather,Monday   ,17865.0
Stearns MacFeather,Saturday ,16058.0
Sylvia Panteley,Tuesday  ,18134.0
Stearns MacFeather,Friday   ,15185.0
Reginald Blotchet-Halls,Tuesday  ,25926.0
Innes del Castillo,Saturday ,19960.0
Burt Gringlesby,Friday   ,17106.0
Innes del Castillo,Sunday   ,25734.0
Michael O'Leary,Wednesday,25783.0
Charlene Locksley,Friday   ,21871.0
Marjorie Green,Tuesday  ,30134.0
Michel DeFrance,Friday   ,31185.0
Heather McBadden,Friday   ,15832.0
Stearns MacFeather,Monday   ,14173.0
Dirk Stringer,Friday   ,17871.0
Anne Ringer,Saturday ,12610.0
Anne Ringer,Monday   ,14458.0
Johnson White,Monday   ,35960.0
Johnson White,Tuesday  ,38417.0
Cheryl Carson,Friday   ,9638.0
Michel DeFrance,Friday   ,32834.0
Albert Ringer,Tuesday  ,22026.0
Anne Ringer,Friday   ,13985.0
Burt Gringlesby,Thursday ,19205.0
Livia Karsen,Monday   ,10754.0
Johnson White,Monday   ,31855.0
Sheryl Hunter,Friday   ,26492.0
Abraham Bennet,Thursday ,64205.0
Heather McBadden,Monday   ,17860.0
Ann Dull,Tuesday  ,31015.0
Sheryl Hunter,Sunday   ,14854.0
Michael O'Leary,Tuesday  ,15326.0
Stearns MacFeather,Wednesday,17897.0
Dirk Stringer,Wednesday,15654.0
Dirk Stringer,Saturday ,11538.0
Meander Smith,Thursday ,16827.0
Anne Ringer,Tuesday  ,13645.0
Johnson White,Wednesday,39136.0
Cheryl Carson,Monday   ,13859.0
Michel DeFrance,Saturday ,31381.0
Innes del Castillo,Wednesday,33266.0
Michel DeFrance,Sunday   ,21231.0
Michael O'Leary,Wednesday,19848.0
Morningstar Greene,Friday   ,18431.0
Michel DeFrance,Monday   ,23624.0
Morningstar Greene,Monday   ,12693.0
Sylvia Panteley,Wednesday,16292.0
Sheryl Hunter,Saturday ,17914.0
Michel DeFrance,Thursday ,26542.0
Innes del Castillo,Wednesday,25527.0
Michel DeFrance,Friday   ,26852.0
Johnson White,Friday   ,33459.0
Sheryl Hunter,Thursday ,14903.0
Meander Smith,Sunday   ,10228.0
Innes del Castillo,Friday   ,13697.0
Stearns MacFeather,Monday   ,19150.0
Livia Karsen,Thursday ,18774.0
Sheryl Hunter,Monday   ,16428.0
Dean Straight,Sunday   ,21660.0
Sheryl Hunter,Wednesday,12106.0
Michael O'Leary,Wednesday,21056.0
Ann Dull,Tuesday  ,36829.0
Heather McBadden,Monday   ,20640.0
Michael O'Leary,Saturday ,31224.0
Sheryl Hunter,Thursday ,17697.0
Johnson White,Sunday   ,27807.0
Meander Smith,Sunday   ,11872.0
Michel DeFrance,Friday   ,30603.0
Stearns MacFeather,Wednesday,19587.0
Albert Ringer,Wednesday,43277.0
Heather McBadden,Saturday ,22498.0
Heather McBadden,Thursday ,16748.0
Sheryl Hunter,Saturday ,14897.0
Dirk Stringer,Tuesday  ,18906.0
Innes del Castillo,Friday   ,24799.0
Michel DeFrance,Wednesday,18145.0
Sylvia Panteley,Monday   ,22327.0
Heather McBadden,Tuesday  ,19631.0
Albert Ringer,Tuesday  ,32602.0
Anne Ringer,Tuesday  ,14606.0
Ann Dull,Monday   ,43790.0
Morningstar Greene,Thursday ,19185.0
Michel DeFrance,Wednesday,29889.0
Marjorie Green,Thursday ,35733.0
Dirk Stringer,Wednesday,13569.0
Innes del Castillo,Tuesday  ,18465.0
Ann Dull,Saturday ,36014.0
Burt Gringlesby,Saturday ,24194.0
Meander Smith,Sunday   ,10247.0
Michael O'Leary,Friday   ,22368.0
Abraham Bennet,Sunday   ,57772.0
Cheryl Carson,Sunday   ,16343.0
Sheryl Hunter,Monday   ,22551.0
Reginald Blotchet-Halls,Monday   ,26849.0
Dirk Stringer,Sunday   ,16716.0
Anne Ringer,Friday   ,10097.0
Dean Straight,Tuesday  ,21902.0
Sheryl Hunter,Thursday ,10351.0
Albert Ringer,Thursday ,29291.0
Michael O'Leary,Friday   ,19218.0
Michel DeFrance,Tuesday  ,25572.0
Abraham Bennet,Monday   ,46436.0
Reginald Blotchet-Halls,Saturday ,19341.0
Livia Karsen,Friday   ,18428.0
Marjorie Green,Sunday   ,35367.0
Michel DeFrance,Monday   ,26323.0
Ann Dull,Sunday   ,29865.0
Michel DeFrance,Sunday   ,27071.0
Abraham Bennet,Friday   ,52521.0
Albert Ringer,Monday   ,29492.0
Morningstar Greene,Sunday   ,13400.0
Michel DeFrance,Wednesday,21535.0
Meander Smith,Thursday ,7668.0
Dirk Stringer,Friday   ,13113.0
Charlene Locksley,Monday   ,23320.0
Burt Gringlesby,Sunday   ,21275.0
Michael O'Leary,Monday   ,23961.0
Marjorie Green,Sunday   ,33172.0
Sheryl Hunter,Wednesday,20158.0
Michael O'Leary,Saturday ,17389.0
Innes del Castillo,Monday   ,30080.0
Sylvia Panteley,Monday   ,17962.0
Marjorie Green,Monday   ,27594.0
Meander Smith,Friday   ,9247.0
Stearns MacFeather,Thursday ,14336.0
Morningstar Greene,Tuesday  ,17807.0
Dean Straight,Tuesday  ,23799.0
Reginald Blotchet-Halls,Tuesday  ,27221.0
Burt Gringlesby,Thursday ,22604.0
Michael O'Leary,Wednesday,29064.0
Heather McBadden,Wednesday,17198.0
Sheryl Hunter,Monday   ,15695.0
Michael O'Leary,Wednesday,20696.0
Heather McBadden,Thursday ,24983.0
Sheryl Hunter,Saturday ,17868.0
Sheryl Hunter,Thursday ,18926.0
Meander Smith,Thursday ,11366.0
Sylvia Panteley,Sunday   ,21975.0
Abraham Bennet,Tuesday  ,42285.0
Cheryl Carson,Wednesday,14034.0
Heather McBadden,Thursday ,27293.0
Reginald Blotchet-Halls,Sunday   ,16998.0
Michael O'Leary,Tuesday  ,20788.0
Sylvia Panteley,Tuesday  ,23504.0
Burt Gringlesby,Thursday ,16953.0
Burt Gringlesby,Friday   ,26393.0
Abraham Bennet,Sunday   ,38393.0
Albert Ringer,Saturday ,23216.0
Livia Karsen,Tuesday  ,12350.0
Morningstar Greene,Wednesday,22791.0
Michael O'Leary,Thursday ,17112.0
Heather McBadden,Thursday ,21466.0
Meander Smith,Friday   ,11485.0
Stearns MacFeather,Sunday   ,16370.0
Michael O'Leary,Tuesday  ,20085.0
Burt Gringlesby,Friday   ,24545.0
Reginald Blotchet-Halls,Thursday ,18806.0
Cheryl Carson,Friday   ,19544.0
Marjorie Green,Wednesday,27622.0
Ann Dull,Tuesday  ,27576.0
Ann Dull,Thursday ,35358.0
Sheryl Hunter,Sunday   ,15080.0
Michael O'Leary,Monday   ,17084.0
Abraham Bennet,Thursday ,55104.0
Livia Karsen,Friday   ,13361.0
Dirk Stringer,Friday   ,16173.0
Charlene Locksley,Wednesday,27969.0
Cheryl Carson,Thursday ,12988.0
Innes del Castillo,Saturday ,27244.0
Anne Ringer,Saturday ,8722.0
Albert Ringer,Friday   ,31244.0
Meander Smith,Saturday ,9132.0
Stearns MacFeather,Monday   ,12901.0
Albert Ringer,Sunday   ,41857.0
Michel DeFrance,Saturday ,21853.0
Dirk Stringer,Saturday ,21693.0
Reginald Blotchet-Halls,Sunday   ,17763.0
Johnson White,Saturday ,36654.0
Charlene Locksley,Sunday   ,21652.0
Dean Straight,Saturday ,11333.0
Heather McBadden,Wednesday,18100.0
Meander Smith,Tuesday  ,12761.0
Morningstar Greene,Monday   ,15136.0
Burt Gringlesby,Thursday ,22411.0
Anne Ringer,Friday   ,10984.0
Innes del Castillo,Thursday ,20562.0
Meander Smith,Wednesday,10385.0
Dirk Stringer,Sunday   ,16233.0
Cheryl Carson,Tuesday  ,15366.0
Abraham Bennet,Sunday   ,52990.0
Michel DeFrance,Tuesday  ,21258.0
Sylvia Panteley,Wednesday,24095.0
Stearns MacFeather,Tuesday  ,16913.0
Dean Straight,Monday   ,20965.0
Michael O'Leary,Tuesday  ,19293.0
Anne Ringer,Monday   ,11250.0
Cheryl Carson,Saturday ,13842.0
Heather McBadden,Friday   ,18657.0
Johnson White,Thursday ,26659.0
Dean Straight,Thursday ,22569.0
Reginald Blotchet-Halls,Friday   ,20539.0
Johnson White,Wednesday,36490.0
Morningstar Greene,Wednesday,13148.0
Charlene Locksley,Friday   ,25945.0
Anne Ringer,Thursday ,10171.0
Sylvia Panteley,Monday   ,12622.0
Michel DeFrance,Friday   ,30138.0
Charlene Locksley,Monday   ,25898.0
Albert Ringer,Sunday   ,31418.0
Cheryl Carson,Tuesday  ,14624.0
Sheryl Hunter,Sunday   ,19980.0
Sylvia Panteley,Sunday   ,18026.0
Abraham Bennet,Monday   ,55141.0
Dirk Stringer,Tuesday  ,15573.0
Meander Smith,Monday   ,9772.0
Ann Dull,Thursday ,37043.0
Morningstar Greene,Wednesday,17791.0
Sheryl Hunter,Friday   ,13839.0
Anne Ringer,Sunday   ,10703.0
Burt Gringlesby,Wednesday,25344.0
Stearns MacFeather,Saturday ,13800.0
Michel DeFrance,Wednesday,23175.0
Reginald Blotchet-Halls,Friday   ,20928.0
Innes del Castillo,Thursday ,23148.0
Livia Karsen,Thursday ,12706.0
Meander Smith,Saturday ,9753.0
Michael O'Leary,Sunday   ,20936.0
Anne Ringer,Thursday ,13305.0
Reginald Blotchet-Halls,Tuesday  ,15081.0
Cheryl Carson,Monday   ,11725.0
Dean Straight,Tuesday  ,18901.0
Reginald Blotchet-Halls,Monday   ,15660.0
Charlene Locksley,Friday   ,26567.0
Michael O'Leary,Tuesday  ,26918.0
Ann Dull,Thursday ,34771.0
Reginald Blotchet-Halls,Thursday ,16661.0
Charlene Locksley,Tuesday  ,27753.0
Livia Karsen,Monday   ,12787.0
Marjorie Green,Tuesday  ,19750.0
Reginald Blotchet-Halls,Friday   ,27798.0
Livia Karsen,Thursday ,13107.0
Michael O'Leary,Saturday ,20779.0
Burt Gringlesby,Tuesday  ,20406.0
Meander Smith,Saturday ,10339.0
Reginald Blotchet-Halls,Monday   ,18152.0
Anne Ringer,Tuesday  ,13039.0
Ann Dull,Monday   ,36841.0
Burt Gringlesby,Friday   ,30303.0
Heather McBadden,Sunday   ,18343.0
Anne Ringer,Friday   ,14665.0
Anne Ringer,Sunday   ,10984.0
Stearns MacFeather,Thursday ,9809.0
Dean Straight,Friday   ,21273.0
Abraham Bennet,Saturday ,43876.0
Heather McBadden,Monday   ,21164.0
Anne Ringer,Wednesday,11531.0
Sylvia Panteley,Friday   ,18585.0
Albert Ringer,Wednesday,27757.0
Stearns MacFeather,Wednesday,21106.0
Johnson White,Saturday ,32141.0
Reginald Blotchet-Halls,Monday   ,24936.0
Burt Gringlesby,Monday   ,17716.0
Johnson White,Tuesday  ,27167.0
Heather McBadden,Sunday   ,19667.0
Livia Karsen,Friday   ,13052.0
Livia Karsen,Friday   ,13570.0
Livia Karsen,Tuesday  ,15877.0
Dean Straight,Friday   ,23307.0
Cheryl Carson,Thursday ,15231.0
Sheryl Hunter,Thursday ,27412.0
Albert Ringer,Monday   ,29642.0
Abraham Bennet,Tuesday  ,51493.0
Meander Smith,Monday   ,9814.0
Charlene Locksley,Monday   ,22458.0
Sylvia Panteley,Sunday   ,24923.0
Heather McBadden,Tuesday  ,16273.0
Charlene Locksley,Wednesday,29501.0
Innes del Castillo,Saturday ,28540.0
Michael O'Leary,Friday   ,22250.0
Johnson White,Thursday ,29804.0
Albert Ringer,Tuesday  ,33625.0
Ann Dull,Monday   ,31331.0
Charlene Locksley,Wednesday,26545.0
Heather McBadden,Monday   ,22407.0
Meander Smith,Saturday ,12447.0
Heather McBadden,Sunday   ,21362.0
Albert Ringer,Thursday ,35919.0
Morningstar Greene,Saturday ,14988.0
Heather McBadden,Thursday ,13504.0
Dirk Stringer,Monday   ,17310.0
Morningstar Greene,Monday   ,16501.0
Dirk Stringer,Tuesday  ,15648.0
Abraham Bennet,Monday   ,46766.0
Stearns MacFeather,Monday   ,12411.0
Meander Smith,Tuesday  ,12420.0
Stearns MacFeather,Sunday   ,17284.0
Marjorie Green,Saturday ,25269.0
Ann Dull,Monday   ,41512.0
Meander Smith,Thursday ,8128.0
Morningstar Greene,Wednesday,18477.0
Morningstar Greene,Friday   ,20712.0
Charlene Locksley,Wednesday,24530.0
Sylvia Panteley,Friday   ,15504.0
Dean Straight,Monday   ,15825.0
Abraham Bennet,Saturday ,50808.0
Charlene Locksley,Wednesday,21560.0
Dean Straight,Thursday ,24426.0
Anne Ringer,Monday   ,8249.0
Michel DeFrance,Saturday ,28317.0
Albert Ringer,Monday   ,39396.0
Burt Gringlesby,Tuesday  ,23589.0
Dean Straight,Monday   ,18044.0
Ann Dull,Friday   ,29134.0
Michael O'Leary,Saturday ,22979.0
Sheryl Hunter,Tuesday  ,20313.0
Michel DeFrance,Tuesday  ,37757.0
Michael O'Leary,Tuesday  ,24321.0
Sylvia Panteley,Sunday   ,22741.0
Stearns MacFeather,Wednesday,19194.0
Livia Karsen,Tuesday  ,6454.0
Anne Ringer,Thursday ,11309.0
Cheryl Carson,Friday   ,12614.0
Dean Straight,Wednesday,22575.0
Dean Straight,Thursday ,17726.0
Morningstar Greene,Thursday ,12649.0
Abraham Bennet,Tuesday  ,48096.0
Michael O'Leary,Friday   ,19371.0
Michel DeFrance,Tuesday  ,22616.0
Charlene Locksley,Monday   ,30329.0
Sheryl Hunter,Saturday ,17798.0
Charlene Locksley,Thursday ,23265.0
Livia Karsen,Sunday   ,7913.0
Albert Ringer,Saturday ,26716.0
Morningstar Greene,Friday   ,15219.0
Heather McBadden,Friday   ,23736.0
Stearns MacFeather,Monday   ,25086.0
Marjorie Green,Monday   ,25706.0
Livia Karsen,Saturday ,9600.0
Charlene Locksley,Sunday   ,24865.0
Abraham Bennet,Tuesday  ,57355.0
Marjorie Green,Sunday   ,28015.0
Marjorie Green,Monday   ,25512.0
Sheryl Hunter,Thursday ,19659.0
Michel DeFrance,Saturday ,32243.0
Innes del Castillo,Tuesday  ,26455.0
Morningstar Greene,Friday   ,15687.0
Burt Gringlesby,Sunday   ,33006.0
Sylvia Panteley,Saturday ,14287.0
Charlene Locksley,Tuesday  ,20950.0
Stearns MacFeather,Thursday ,17963.0
Dean Straight,Tuesday  ,15757.0
Reginald Blotchet-Halls,Wednesday,16442.0
Sylvia Panteley,Saturday ,21147.0
Innes del Castillo,Sunday   ,19599.0
Charlene Locksley,Sunday   ,19766.0
Johnson White,Saturday ,33549.0
Heather McBadden,Tuesday  ,24630.0
Dirk Stringer,Friday   ,16215.0
Heather McBadden,Monday   ,18780.0
Ann Dull,Thursday ,38538.0
Heather McBadden,Saturday ,16789.0
Johnson White,Tuesday  ,24540.0
Johnson White,Sunday   ,28769.0
Livia Karsen,Tuesday  ,12396.0
Ann Dull,Sunday   ,31170.0
Michael O'Leary,Monday   ,23125.0
Charlene Locksley,Tuesday  ,22631.0
Reginald Blotchet-Halls,Sunday   ,19103.0
Meander Smith,Wednesday,13347.0
Stearns MacFeather,Sunday   ,19150.0
Michel DeFrance,Friday   ,24173.0
Cheryl Carson,Sunday   ,16806.0
Michel DeFrance,Tuesday  ,30530.0
Dirk Stringer,Saturday ,18774.0
Meander Smith,Wednesday,9787.0
Meander Smith,Monday   ,12922.0
Dirk Stringer,Tuesday  ,16401.0
Sylvia Panteley,Friday   ,21066.0
Livia Karsen,Thursday ,11303.0
Michel DeFrance,Sunday   ,34394.0
Heather McBadden,Saturday ,21813.0
Dean Straight,Wednesday,14566.0
Innes del Castillo,Wednesday,24548.0
Morningstar Greene,Tuesday  ,17468.0
Abraham Bennet,Monday   ,52897.0
Livia Karsen,Monday   ,10983.0
Reginald Blotchet-Halls,Thursday ,17968.0
Michel DeFrance,Tuesday  ,26661.0
Ann Dull,Sunday   ,26471.0
Stearns MacFeather,Tuesday  ,19313.0
Morningstar Greene,Saturday ,18982.0
Michel DeFrance,Saturday ,29951.0
Anne Ringer,Tuesday  ,8737.0
Sylvia Panteley,Sunday   ,21595.0
Stearns MacFeather,Sunday   ,16097.0
Burt Gringlesby,Thursday ,18283.0
Michel DeFrance,Friday   ,27628.0
Charlene Locksley,Sunday   ,25394.0
Burt Gringlesby,Wednesday,30040.0
Johnson White,Tuesday  ,27166.0
Stearns MacFeather,Saturday ,16840.0
Marjorie Green,Tuesday  ,37992.0
Michael O'Leary,Thursday ,23897.0
Burt Gringlesby,Monday   ,19016.0
Ann Dull,Saturday ,33965.0
Michael O'Leary,Monday   ,27167.0
Michael O'Leary,Friday   ,22067.0
Johnson White,Thursday ,28102.0
Marjorie Green,Friday   ,31691.0
Cheryl Carson,Monday   ,17226.0
Marjorie Green,Friday   ,28991.0
Johnson White,Friday   ,40741.0
Sylvia Panteley,Tuesday  ,16030.0
Michael O'Leary,Thursday ,17387.0
Morningstar Greene,Tuesday  ,19148.0
Dean Straight,Saturday ,24771.0
Dirk Stringer,Tuesday  ,15648.0
Marjorie Green,Wednesday,28478.0
Reginald Blotchet-Halls,Sunday   ,19243.0
Meander Smith,Thursday ,8860.0
Livia Karsen,Sunday   ,10373.0
Cheryl Carson,Friday   ,20809.0
Sylvia Panteley,Wednesday,27904.0
Anne Ringer,Wednesday,12492.0
Stearns MacFeather,Monday   ,15648.0
Abraham Bennet,Saturday ,49993.0
Anne Ringer,Friday   ,9121.0
Marjorie Green,Monday   ,25011.0
Reginald Blotchet-Halls,Monday   ,15271.0
Innes del Castillo,Tuesday  ,22543.0
Ann Dull,Saturday ,28604.0
Dean Straight,Friday   ,14811.0
Anne Ringer,Thursday ,13364.0
Dirk Stringer,Saturday ,14268.0
Cheryl Carson,Monday   ,18049.0
Morningstar Greene,Friday   ,16653.0
Cheryl Carson,Thursday ,14150.0
Marjorie Green,Saturday ,21048.0
Burt Gringlesby,Friday   ,19095.0
Reginald Blotchet-Halls,Saturday ,23667.0
Marjorie Green,Monday   ,22904.0
Morningstar Greene,Monday   ,16662.0
Dean Straight,Monday   ,23124.0
Innes del Castillo,Sunday   ,28596.0
Ann Dull,Thursday ,34477.0
Sylvia Panteley,Sunday   ,20443.0
Michael O'Leary,Saturday ,21189.0
Anne Ringer,Thursday ,12344.0
Charlene Locksley,Thursday ,25059.0
Sylvia Panteley,Saturday ,18886.0
Sheryl Hunter,Tuesday  ,18367.0
Ann Dull,Tuesday  ,34305.0
Albert Ringer,Friday   ,28158.0
Reginald Blotchet-Halls,Tuesday  ,20533.0
Albert Ringer,Monday   ,20594.0
Charlene Locksley,Tuesday  ,24047.0
Sylvia Panteley,Monday   ,19553.0
Sylvia Panteley,Thursday ,18990.0
Dean Straight,Thursday ,21629.0
Stearns MacFeather,Saturday ,18838.0
Ann Dull,Monday   ,32591.0
Michel DeFrance,Thursday ,18656.0
Dirk Stringer,Saturday ,13053.0
Marjorie Green,Monday   ,31478.0
Cheryl Carson,Wednesday,15808.0
Livia Karsen,Friday   ,10063.0
Sheryl Hunter,Sunday   ,18969.0
Meander Smith,Sunday   ,8925.0
Heather McBadden,Wednesday,18799.0
Livia Karsen,Monday   ,8731.0
Burt Gringlesby,Friday   ,19794.0
Heather McBadden,Sunday   ,20570.0
Albert Ringer,Tuesday  ,34206.0
Albert Ringer,Monday   ,37660.0
Sheryl Hunter,Sunday   ,23258.0
Cheryl Carson,Sunday   ,13349.0
Sheryl Hunter,Tuesday  ,15380.0
Heather McBadden,Sunday   ,14423.0
Stearns MacFeather,Sunday   ,20188.0
Innes del Castillo,Thursday ,30768.0
Johnson White,Saturday ,31390.0
Stearns MacFeather,Tuesday  ,13286.0
Stearns MacFeather,Friday   ,19306.0
Burt Gringlesby,Monday   ,21698.0
Abraham Bennet,Tuesday  ,44376.0
Dirk Stringer,Friday   ,13473.0
Innes del Castillo,Thursday ,17949.0
Johnson White,Thursday ,26266.0
Michael O'Leary,Sunday   ,17853.0
Meander Smith,Friday   ,8814.0
Sylvia Panteley,Sunday   ,16106.0
Michel DeFrance,Thursday ,25012.0
Meander Smith,Monday   ,11002.0
Dirk Stringer,Monday   ,20838.0
Johnson White,Sunday   ,31803.0
Charlene Locksley,Thursday ,24059.0
Cheryl Carson,Monday   ,7630.0
Michael O'Leary,Sunday   ,22864.0
Reginald Blotchet-Halls,Wednesday,21940.0
Sylvia Panteley,Wednesday,19627.0
Ann Dull,Wednesday,37388.0
Charlene Locksley,Wednesday,27361.0
Charlene Locksley,Tuesday  ,20732.0
Morningstar Greene,Monday   ,11508.0
Ann Dull,Thursday ,27156.0
Michel DeFrance,Saturday ,31530.0
Dean Straight,Tuesday  ,25176.0
Sheryl Hunter,Friday   ,22564.0
Dean Straight,Thursday ,20551.0
Dean Straight,Wednesday,12802.0
Heather McBadden,Friday   ,19968.0
Marjorie Green,Wednesday,35262.0
Meander Smith,Friday   ,12060.0
Innes del Castillo,Monday   ,20256.0
Meander Smith,Tuesday  ,13060.0
Dirk Stringer,Thursday ,19947.0
Albert Ringer,Tuesday  ,38960.0
Johnson White,Monday   ,27394.0
Dirk Stringer,Thursday ,12348.0
Livia Karsen,Sunday   ,15923.0
Michel DeFrance,Sunday   ,36108.0
Sheryl Hunter,Monday   ,16514.0
Charlene Locksley,Sunday   ,21237.0
Albert Ringer,Sunday   ,25112.0
Charlene Locksley,Friday   ,22883.0
Burt Gringlesby,Saturday ,22181.0
Morningstar Greene,Wednesday,18126.0
Johnson White,Sunday   ,27487.0
Morningstar Greene,Monday   ,22099.0
Johnson White,Sunday   ,42390.0
Cheryl Carson,Friday   ,15029.0
Abraham Bennet,Saturday ,40254.0
Abraham Bennet,Friday   ,48153.0
Charlene Locksley,Thursday ,22699.0
Innes del Castillo,Saturday ,22959.0
Stearns MacFeather,Monday   ,16130.0
Dean Straight,Wednesday,19047.0
Sylvia Panteley,Monday   ,17877.0
Cheryl Carson,Friday   ,15107.0
Anne Ringer,Thursday ,13290.0
Dean Straight,Wednesday,15955.0
Johnson White,Friday   ,42414.0
Sylvia Panteley,Tuesday  ,14492.0
Livia Karsen,Saturday ,14510.0
Charlene Locksley,Saturday ,31459.0
Ann Dull,Wednesday,29134.0
Ann Dull,Sunday   ,41949.0
Sheryl Hunter,Friday   ,18936.0
Burt Gringlesby,Saturday ,26218.0
Stearns MacFeather,Tuesday  ,16070.0
Albert Ringer,Tuesday  ,32143.0
Cheryl Carson,Sunday   ,9953.0
Dean Straight,Friday   ,16843.0
Abraham Bennet,Sunday   ,57330.0
Burt Gringlesby,Thursday ,21666.0
Johnson White,Thursday ,32967.0
Heather McBadden,Friday   ,20809.0
Innes del Castillo,Sunday   ,18937.0
Cheryl Carson,Saturday ,15151.0
Dean Straight,Sunday   ,24187.0
Ann Dull,Friday   ,38186.0
Dirk Stringer,Wednesday,26571.0
Stearns MacFeather,Friday   ,13253.0
Marjorie Green,Tuesday  ,29522.0
Livia Karsen,Thursday ,15212.0
Reginald Blotchet-Halls,Tuesday  ,23717.0
Dirk Stringer,Sunday   ,13329.0
Johnson White,Tuesday  ,39408.0
Anne Ringer,Friday   ,8663.0
Burt Gringlesby,Sunday   ,29690.0
Michel DeFrance,Friday   ,27812.0
Anne Ringer,Wednesday,14251.0
Johnson White,Tuesday  ,31987.0
Innes del Castillo,Thursday ,28501.0
Cheryl Carson,Friday   ,16712.0
Charlene Locksley,Tuesday  ,25323.0
Dean Straight,Tuesday  ,18553.0
Albert Ringer,Thursday ,30452.0
Johnson White,Sunday   ,38576.0
Livia Karsen,Tuesday  ,12304.0
Heather McBadden,Monday   ,19406.0
Sylvia Panteley,Thursday ,16304.0
Sheryl Hunter,Friday   ,17828.0
Innes del Castillo,Sunday   ,16500.0
Burt Gringlesby,Saturday ,19988.0
Heather McBadden,Sunday   ,21376.0
Johnson White,Monday   ,39596.0
Dirk Stringer,Thursday ,17139.0
Dean Straight,Saturday ,19275.0
Stearns MacFeather,Thursday ,13312.0
